start_time,end_time,TotalBytes,Bandwidth_bps
2022-06-01T11:32:29.000Z,2022-06-01T11:32:30.000Z,148,1184
2022-06-01T11:32:30.000Z,2022-06-01T11:32:31.000Z,60,480
2022-06-01T11:32:31.000Z,2022-06-01T11:32:32.000Z,360,2880
2022-06-01T11:32:32.000Z,2022-06-01T11:32:33.000Z,60,480
2022-06-01T11:32:34.000Z,2022-06-01T11:32:35.000Z,305,2440
2022-06-01T11:32:35.000Z,2022-06-01T11:32:36.000Z,861708,6893664
2022-06-01T11:32:36.000Z,2022-06-01T11:32:37.000Z,1735636,13885088
2022-06-01T11:32:37.000Z,2022-06-01T11:32:38.000Z,237404,1899232
2022-06-01T11:32:38.000Z,2022-06-01T11:32:39.000Z,320238,2561904
2022-06-01T11:32:39.000Z,2022-06-01T11:32:40.000Z,491554,3932432
2022-06-01T11:32:40.000Z,2022-06-01T11:32:41.000Z,107552,860416
2022-06-01T11:32:41.000Z,2022-06-01T11:32:42.000Z,326070,2608560
2022-06-01T11:32:42.000Z,2022-06-01T11:32:43.000Z,378062,3024496
2022-06-01T11:32:43.000Z,2022-06-01T11:32:44.000Z,259266,2074128
2022-06-01T11:32:44.000Z,2022-06-01T11:32:45.000Z,252459,2019672
2022-06-01T11:32:45.000Z,2022-06-01T11:32:46.000Z,318222,2545776
2022-06-01T11:32:46.000Z,2022-06-01T11:32:47.000Z,211137,1689096
2022-06-01T11:32:47.000Z,2022-06-01T11:32:48.000Z,798333,6386664
2022-06-01T11:32:48.000Z,2022-06-01T11:32:49.000Z,597394,4779152
2022-06-01T11:32:49.000Z,2022-06-01T11:32:50.000Z,393349,3146792
2022-06-01T11:32:50.000Z,2022-06-01T11:32:51.000Z,354470,2835760
2022-06-01T11:32:51.000Z,2022-06-01T11:32:52.000Z,358257,2866056
2022-06-01T11:32:52.000Z,2022-06-01T11:32:53.000Z,330661,2645288
2022-06-01T11:32:53.000Z,2022-06-01T11:32:54.000Z,360611,2884888
2022-06-01T11:32:54.000Z,2022-06-01T11:32:55.000Z,263225,2105800
